Order_ID,Order_Date,Customer,Product,Category,Quantity,Price,Sales,City,Region,Payment
1030,2026-04-01 00:00:00,Neha,Shoes,Fashion,4,3000,12000,Surat,West,Net Banking
1052,2026-04-04 00:00:00,Rahul,Perfume,Beauty,3,1800,5400,Ahmedabad,West,Cash
1051,2026-04-05 00:00:00,Rohan,Smartphone,Electronics,1,30000,30000,Kolkata,East,Card
1083,2026-04-08 00:00:00,Dhruv,Perfume,Beauty,3,1800,5400,Ahmedabad,West,Card
1089,2026-04-12 00:00:00,Priya,Headphones,Electronics,4,2000,8000,Pune,West,UPI
1057,2026-04-13 00:00:00,Dhruv,T-Shirt,Fashion,2,1200,2400,Ahmedabad,West,Cash
1031,2026-04-14 00:00:00,Dhruv,Face Wash,Beauty,1,500,500,Surat,West,UPI
1065,2026-04-14 00:00:00,Anjali,Backpack,Fashion,3,1800,5400,Pune,West,UPI
1077,2026-04-17 00:00:00,Neha,Perfume,Beauty,1,1800,1800,Mumbai,West,Cash
1078,2026-04-18 00:00:00,Neha,Shampoo,Beauty,2,700,1400,Ahmedabad,West,UPI
1100,2026-04-19 00:00:00,Anjali,Sunscreen,Beauty,3,650,1950,Kolkata,East,Cash
1080,2026-04-22 00:00:00,Yash,Jacket,Fashion,3,3500,10500,Mumbai,West,UPI
1045,2026-04-23 00:00:00,Anjali,Jeans,Fashion,2,2200,4400,Delhi,North,Cash
1073,2026-04-24 00:00:00,Rohan,Perfume,Beauty,3,1800,5400,Chennai,South,Net Banking
1033,2026-04-24 00:00:00,Anjali,Chair,Home,1,4000,4000,Mumbai,West,UPI
1094,2026-04-26 00:00:00,Priya,Air Fryer,Home,3,6500,19500,Surat,West,Net Banking
1056,2026-04-28 00:00:00,Dhruv,Smartwatch,Electronics,2,5000,10000,Mumbai,West,Cash
1011,2026-04-29 00:00:00,Neha,Backpack,Fashion,2,1800,3600,Mumbai,West,Cash
1093,2026-04-30 00:00:00,Neha,Bedsheet,Home,4,1500,6000,Kolkata,East,Cash
1081,2026-04-30 00:00:00,Kavan,Moisturizer,Beauty,2,900,1800,Bengaluru,South,UPI
1038,2026-05-09 00:00:00,Anjali,Mixer,Home,4,4500,18000,Ahmedabad,West,Card
1019,2026-05-09 00:00:00,Kavan,Jacket,Fashion,3,3500,10500,Ahmedabad,West,UPI
1067,2026-05-11 00:00:00,Yash,Shampoo,Beauty,2,700,1400,Chennai,South,Card
1025,2026-05-13 00:00:00,Yash,Chair,Home,4,4000,16000,Jaipur,North,UPI
1017,2026-05-16 00:00:00,Riya,Smartwatch,Electronics,4,5000,20000,Bengaluru,South,UPI
1072,2026-05-23 00:00:00,Priya,Backpack,Fashion,1,1800,1800,Chennai,South,UPI
1050,2026-05-24 00:00:00,Rahul,Jacket,Fashion,4,3500,14000,Kolkata,East,UPI
1003,2026-05-24 00:00:00,Priya,Backpack,Fashion,1,1800,1800,Pune,West,Net Banking
1053,2026-05-24 00:00:00,Neha,T-Shirt,Fashion,3,1200,3600,Surat,West,Card
1087,2026-05-25 00:00:00,Priya,T-Shirt,Fashion,1,1200,1200,Chennai,South,Net Banking
1090,2026-05-25 00:00:00,Rahul,Shoes,Fashion,1,3000,3000,Delhi,North,Cash
1022,2026-05-26 00:00:00,Aman,Air Fryer,Home,2,6500,13000,Ahmedabad,West,UPI
1066,2026-05-29 00:00:00,Rohan,Table Lamp,Home,4,1200,4800,Mumbai,West,Cash
1059,2026-05-29 00:00:00,Riya,Laptop,Electronics,2,55000,110000,Delhi,North,UPI
1040,2026-05-29 00:00:00,Rohan,Jacket,Fashion,2,3500,7000,Surat,West,UPI
1006,2026-06-04 00:00:00,Riya,Face Wash,Beauty,3,500,1500,Jaipur,North,UPI
1043,2026-06-09 00:00:00,Rohan,Mixer,Home,4,4500,18000,Ahmedabad,West,UPI
1016,2026-06-10 00:00:00,Kavan,Laptop,Electronics,2,55000,110000,Surat,West,Net Banking
1099,2026-06-19 00:00:00,Rohan,Jacket,Fashion,3,3500,10500,Mumbai,West,Cash
1062,2026-06-20 00:00:00,Dhruv,Jeans,Fashion,1,2200,2200,Bengaluru,South,Cash
1063,2026-06-20 00:00:00,Neha,Headphones,Electronics,3,2000,6000,Kolkata,East,Cash
1042,2026-06-21 00:00:00,Riya,Jeans,Fashion,2,2200,4400,Bengaluru,South,Net Banking
1010,2026-06-21 00:00:00,Riya,Jeans,Fashion,2,2200,4400,Jaipur,North,UPI
1058,2026-06-23 00:00:00,Anjali,Headphones,Electronics,4,2000,8000,Jaipur,North,Cash
1070,2026-06-28 00:00:00,Neha,Smartwatch,Electronics,2,5000,10000,Bengaluru,South,Net Banking
1055,2026-06-29 00:00:00,Aman,Perfume,Beauty,2,1800,3600,Delhi,North,Net Banking
